epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.52711,4.8662,5.43947,4.17674,0,0,0,0,5.46223,5.5001,4.15925,0,0,0
2,7.14058,4.73743,5.14941,4.21172,0,0,0,0,5.46245,5.50075,4.15958,1.40071e-05,1.40071e-05,1.40071e-05
3,9.53258,4.56013,5.1489,4.22719,0,0,0,0,5.46266,5.50095,4.15991,2.74482e-05,2.74482e-05,2.74482e-05
4,12.1046,4.88606,5.65636,4.2591,0,0,0,0,5.46284,5.50062,4.1602,4.03235e-05,4.03235e-05,4.03235e-05
5,14.7522,4.94763,5.13811,4.18337,0,0,0,0,5.46299,5.50091,4.1605,5.26329e-05,5.26329e-05,5.26329e-05
6,17.1574,4.33981,5.16009,4.20107,0,0,0,0,5.46313,5.50126,4.16078,6.43764e-05,6.43764e-05,6.43764e-05
7,19.6568,5.10563,5.37617,4.25296,0,0,0,0,5.46322,5.50164,4.16103,7.55541e-05,7.55541e-05,7.55541e-05
8,22.2395,4.61746,5.10752,4.21388,0,0,0,0,5.46326,5.50205,4.16124,8.61658e-05,8.61658e-05,8.61658e-05
9,24.7094,4.30776,5.09992,4.19709,0,0,0,0,5.46326,5.50253,4.16144,9.62117e-05,9.62117e-05,9.62117e-05
10,27.2789,4.77962,5.1655,4.176,0,0,0,0,5.46321,5.50226,4.1616,0.000105692,0.000105692,0.000105692
11,29.7687,4.74139,5.20433,4.24306,0,0,0,0,5.46311,5.50308,4.16174,0.000114606,0.000114606,0.000114606
12,32.3265,4.3254,5.21325,4.23949,0,0,0,0,5.46295,5.50386,4.16184,0.000122954,0.000122954,0.000122954
13,35.3224,4.90318,5.50348,4.1896,0,0,0,0,5.46272,5.50397,4.16187,0.000130736,0.000130736,0.000130736
14,37.8514,5.02055,5.46546,4.20207,0,0,0,0,5.46247,5.50351,4.1619,0.000137953,0.000137953,0.000137953
15,40.3497,4.73722,5.32282,4.17428,0,0,0,0,5.46217,5.50342,4.16191,0.000144603,0.000144603,0.000144603
16,43.1565,4.59799,5.00538,4.20731,0,0,0,0,5.46181,5.50307,4.16186,0.000150688,0.000150688,0.000150688
17,46.2112,4.56225,5.39248,4.25073,0,0,0,0,5.46139,5.50279,4.16178,0.000156207,0.000156207,0.000156207
18,48.6386,4.67614,5.14492,4.1533,0,0,0,0,5.46139,5.50279,4.16178,0.00016116,0.00016116,0.00016116
19,51.2017,4.53845,5.02651,4.17221,0,0,0,0,5.46078,5.50289,4.16176,0.000165547,0.000165547,0.000165547
20,53.9046,4.52878,5.01685,4.14128,0,0,0,0,5.46078,5.50289,4.16176,0.000169368,0.000169368,0.000169368
21,56.8119,4.13859,5.36299,4.13979,0,0,0,0,5.45999,5.50222,4.16162,0.000172623,0.000172623,0.000172623
22,59.3585,5.11167,5.64474,4.2203,0,0,0,0,5.45999,5.50222,4.16162,0.000175313,0.000175313,0.000175313
23,62.0299,4.8885,5.09588,4.19419,0,0,0,0,5.45904,5.50093,4.16137,0.000177436,0.000177436,0.000177436
